,district,grade,total_sch,total_student,zipcode,grade_num
0,mercer island,A+,6,"4,522",[98040],13
1,lake washington,A+,55,"30,675","[98028, 98033, 98034, 98052, 98053, 98074, 98077]",13
2,issaquah,A+,27,"20,897","[98006, 98008, 98027, 98029, 98059, 98065, 98075]",13
3,bellevue,A+,31,"21,609","[98004, 98005, 98006, 98007, 98008, 98039, 98121]",13
4,vashon island,A,5,"1,585",[98070],12
5,northshore,A,39,23500,"[98011, 98028, 98052, 98072, 98077]",12
6,shoreline,A,19,"9,899","[98133, 98155, 98177]",12
7,tahoma,A,9,"8,906","[98038, 98042, 98051]",12
8,snoqualmie valley,A-,13,"7,214","[98024, 98045, 98065]",11
9,seattle,A-,108,"55,271","[98101, 98102, 98103, 98104, 98105, 98106, 98107, 98108, 98109, 98112, 98115, 98116, 98117, 98118, 98119, 98121, 98122, 98125, 98126, 98133, 98134, 98136, 98144, 98146, 98177, 98178, 98195, 98199]",11
10,riverview,B+,9,"3,482","[98014, 98019]",10
11,enumclaw,B,10,"4,183","[98010, 98022]",9
12,skykomish,B,2,57,[98288],9
13,kent,B,44,"27,291","[98010, 98030, 98031, 98032, 98042, 98058, 98198]",9
14,auburn,B,24,"17,505","[98001, 98002, 98047, 98092]",9
15,renton,B-,29,"16,425","[98055, 98056, 98057, 98058, 98059, 98178]",8
16,federal way,C+,46,"23,489","[98001, 98003, 98023, 98032, 98198]",7
17,highline,C+,40,"19,213","[98146, 98148, 98166, 98168, 98188, 98198]",7
18,tukwila,C+,8,"3,046","[98168, 98188]",7
19,muckleshoot tribal,D+,1,492,,4
